"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL (MW)","RUSEP ($/MWh)","MAP ($/MWh)","MAPT ($/MWh)","TPC Applied"
"USEP","11-May-2026","12","175.70","0.00","6348.310","0.00","0.000","175.70","164.31","729.84","No"
"USEP","11-May-2026","13","175.90","0.00","6539.322","0.00","0.000","175.90","164.38","729.84","No"
"USEP","11-May-2026","14","176.77","0.00","6735.602","0.00","0.000","176.77","164.43","729.84","No"
"USEP","11-May-2026","15","176.17","0.00","6944.332","6.88","0.000","176.17","164.47","729.84","No"
"USEP","11-May-2026","16","178.26","0.00","7148.778","30.62","0.000","178.26","164.52","729.84","No"
"USEP","11-May-2026","17","176.67","0.00","7210.953","166.72","0.000","176.67","164.53","729.84","No"
"USEP","11-May-2026","18","176.43","0.00","7223.169","324.17","0.000","176.43","164.54","729.84","No"
"USEP","11-May-2026","19","178.44","0.00","7234.202","454.74","0.000","178.44","164.58","729.84","No"
"USEP","11-May-2026","20","176.01","0.00","7129.127","687.60","0.000","176.01","164.72","729.84","No"
"USEP","11-May-2026","21","181.62","0.00","7185.864","742.46","0.000","181.62","164.84","729.84","No"
"USEP","11-May-2026","22","183.63","0.00","7276.591","670.01","0.000","183.63","165.48","729.84","No"
"USEP","11-May-2026","23","176.41","0.00","7074.437","832.90","0.000","176.41","166.38","729.84","No"
"USEP","11-May-2026","24","176.80","0.00","7122.323","714.11","0.000","176.80","167.91","729.84","No"
"USEP","11-May-2026","25","183.05","0.00","7064.905","738.09","0.000","183.05","169.52","729.84","No"
"USEP","11-May-2026","26","176.84","0.00","7056.575","775.21","0.000","176.84","170.96","729.84","No"
"USEP","11-May-2026","27","183.70","0.00","7182.679","659.26","0.000","183.70","172.11","729.84","No"
"USEP","11-May-2026","28","169.08","0.00","6794.646","1079.54","0.000","169.08","172.85","729.84","No"
"USEP","11-May-2026","29","167.02","0.00","6698.342","1238.60","0.000","167.02","173.53","729.84","No"
"USEP","11-May-2026","30","167.10","0.00","6718.665","1166.05","0.000","167.10","174.13","729.84","No"
"USEP","11-May-2026","31","169.11","0.00","6902.952","1017.71","0.000","169.11","174.72","729.84","No"
"USEP","11-May-2026","32","169.19","0.00","6981.985","937.73","0.000","169.19","174.76","729.84","No"
"USEP","11-May-2026","33","176.47","0.00","7173.579","734.09","0.000","176.47","175.18","729.84","No"
"USEP","11-May-2026","34","179.74","0.00","7363.125","560.05","0.000","179.74","175.44","729.84","No"
"USEP","11-May-2026","35","176.51","0.00","7469.368","476.05","0.000","176.51","175.53","729.84","No"
"USEP","11-May-2026","36","176.66","0.00","7562.958","277.28","0.000","176.66","175.60","729.84","No"
"USEP","11-May-2026","37","176.86","0.00","7587.639","166.10","0.000","176.86","175.61","729.84","No"
"USEP","11-May-2026","38","178.42","0.00","7649.983","59.94","0.000","178.42","175.66","729.84","No"
"USEP","11-May-2026","39","179.91","0.00","7678.203","2.44","0.000","179.91","175.74","729.84","No"
"USEP","11-May-2026","40","180.01","0.00","7680.176","0.00","0.000","180.01","175.81","729.84","No"
"USEP","11-May-2026","41","183.68","0.00","7654.456","0.00","0.000","183.68","175.96","729.84","No"
"USEP","11-May-2026","42","180.05","0.00","7611.759","0.00","0.000","180.05","176.03","729.84","No"
"USEP","11-May-2026","43","183.60","0.00","7535.032","0.00","0.000","183.60","176.18","729.84","No"
"USEP","11-May-2026","44","178.45","0.00","7400.802","0.00","0.000","178.45","176.23","729.84","No"
"USEP","11-May-2026","45","176.94","0.00","7245.534","0.00","0.000","176.94","176.25","729.84","No"
"USEP","11-May-2026","46","176.25","0.00","7095.023","0.00","0.000","176.25","176.25","729.84","No"
"USEP","11-May-2026","47","176.87","0.00","6964.372","0.00","0.000","176.87","176.27","729.84","No"
"USEP","11-May-2026","48","176.18","0.00","6808.865","0.00","0.000","176.18","176.26","729.84","No"
"USEP","12-May-2026","1","176.48","0.00","6647.753","0.00","0.000","176.48","176.22","729.84","No"
"USEP","12-May-2026","2","176.40","0.00","6512.002","0.00","0.000","176.40","176.22","729.84","No"
"USEP","12-May-2026","3","176.44","0.00","6408.487","0.00","0.000","176.44","176.23","729.84","No"
"USEP","12-May-2026","4","176.45","0.00","6338.793","0.00","0.000","176.45","176.26","729.84","No"
"USEP","12-May-2026","5","176.38","0.00","6274.317","0.00","0.000","176.38","176.33","729.84","No"
"USEP","12-May-2026","6","176.26","0.00","6222.544","0.00","0.000","176.26","176.40","729.84","No"
"USEP","12-May-2026","7","176.24","0.00","6184.395","0.00","0.000","176.24","176.47","729.84","No"
"USEP","12-May-2026","8","176.25","0.00","6163.710","0.00","0.000","176.25","176.62","729.84","No"
"USEP","12-May-2026","9","176.00","0.00","6160.494","0.00","0.000","176.00","176.76","729.84","No"
"USEP","12-May-2026","10","176.26","0.00","6207.416","0.00","0.000","176.26","176.84","729.84","No"
"USEP","12-May-2026","11","176.47","0.00","6308.148","0.00","0.000","176.47","176.88","729.84","No"
"USEP","12-May-2026","12","178.14","0.00","6480.299","0.00","0.000","178.14","176.93","729.84","No"
"USEP","12-May-2026","13","176.47","0.00","6678.934","0.00","0.000","176.47","176.94","729.84","No"
"USEP","12-May-2026","14","178.27","0.00","6883.380","0.00","0.000","178.27","176.97","729.84","No"
"USEP","12-May-2026","15","179.63","0.00","7085.759","6.32","0.000","179.63","177.04","729.84","No"
"USEP","12-May-2026","16","183.41","0.00","7289.111","27.99","0.000","183.41","177.15","729.84","No"
"USEP","12-May-2026","17","183.26","0.00","7355.009","159.93","0.000","183.26","177.29","729.84","No"
"USEP","12-May-2026","18","179.56","0.00","7374.466","305.45","0.000","179.56","177.35","729.84","No"
"USEP","12-May-2026","19","178.00","0.00","7396.101","411.54","0.000","178.00","177.34","729.84","No"
"USEP","12-May-2026","20","176.82","0.00","7374.874","521.72","0.000","176.82","177.36","729.84","No"
"USEP","12-May-2026","21","183.24","0.00","7327.639","621.08","0.000","183.24","177.40","729.84","No"
"USEP","12-May-2026","22","210.46","0.00","7355.620","615.61","0.000","210.46","177.95","729.84","No"
"USEP","12-May-2026","23","176.52","0.00","7180.427","750.20","0.000","176.52","177.96","729.84","No"
"USEP","12-May-2026","24","172.72","0.00","7069.393","777.12","0.000","172.72","177.87","729.84","No"
"USEP","12-May-2026","25","219.12","0.00","7013.122","814.90","0.000","219.12","178.62","729.84","No"
"USEP","12-May-2026","26","227.53","0.00","6894.523","981.60","0.000","227.53","179.68","729.84","No"
"USEP","12-May-2026","27","176.64","0.00","6958.989","1021.59","0.000","176.64","179.53","729.84","No"
"USEP","12-May-2026","28","349.95","0.00","7382.498","694.44","0.000","349.95","183.30","729.84","No"
"USEP","12-May-2026","29","176.84","0.00","7031.720","1008.95","0.000","176.84","183.50","729.84","No"
"USEP","12-May-2026","30","218.09","0.00","7106.320","858.22","0.000","218.09","184.57","729.84","No"
"USEP","12-May-2026","31","233.76","0.00","7197.688","721.42","0.000","233.76","185.91","729.84","No"
"USEP","12-May-2026","32","309.75","0.00","7549.341","451.51","0.000","309.75","188.84","729.84","No"
"USEP","12-May-2026","33","176.90","0.00","7452.898","512.76","0.000","176.90","188.85","729.84","No"
"USEP","12-May-2026","34","181.56","0.00","7462.535","484.10","0.000","181.56","188.89","729.84","No"
"USEP","12-May-2026","35","172.47","0.00","7347.221","536.26","0.000","172.47","188.80","729.84","No"
"USEP","12-May-2026","36","173.40","0.00","7450.075","323.28","0.000","173.40","188.74","729.84","No"
"USEP","12-May-2026","37","185.95","0.00","7592.232","134.14","0.000","185.95","188.93","729.84","No"
"USEP","12-May-2026","38","186.00","0.00","7653.671","34.07","0.000","186.00","-","-","No"
"USEP","12-May-2026","39","244.83","0.00","7638.333","2.99","0.000","244.83","190.53","729.84","No"
"USEP","12-May-2026","40","233.01","0.00","7622.842","0.00","0.000","233.01","191.66","729.84","No"
"USEP","12-May-2026","41","233.11","0.00","7593.161","0.00","0.000","233.11","192.71","729.84","No"
"USEP","12-May-2026","42","223.22","0.00","7528.283","0.00","0.000","223.22","193.63","729.84","No"
"USEP","12-May-2026","43","223.19","0.00","7432.729","0.00","0.000","223.19","194.47","729.84","No"
"USEP","12-May-2026","44","193.17","0.00","7288.097","0.00","0.000","193.17","194.78","729.84","No"
"USEP","12-May-2026","45","186.11","0.00","7130.981","0.00","0.000","186.11","194.98","729.84","No"
"USEP","12-May-2026","46","177.57","0.00","6986.866","0.00","0.000","177.57","195.01","729.84","No"
"USEP","12-May-2026","47","181.67","0.00","6854.013","0.00","0.000","181.67","195.11","729.84","No"
"USEP","12-May-2026","48","181.70","0.00","6777.773","0.00","0.000","181.70","195.23","729.84","No"
"USEP","13-May-2026","1","205.70","0.00","6757.863","0.00","0.000","205.70","195.85","729.84","No"
"USEP","13-May-2026","2","222.37","0.00","6695.992","0.00","0.000","222.37","196.83","729.84","No"
"USEP","13-May-2026","3","192.69","0.00","6496.675","0.00","0.000","192.69","197.17","729.84","No"
"USEP","13-May-2026","4","185.74","0.00","6362.922","0.00","0.000","185.74","197.37","729.84","No"
"USEP","13-May-2026","5","176.35","0.00","6294.729","0.00","0.000","176.35","197.37","729.84","No"
"USEP","13-May-2026","6","176.59","0.00","6238.607","0.00","0.000","176.59","197.38","729.84","No"
"USEP","13-May-2026","7","176.34","0.00","6201.899","0.00","0.000","176.34","197.38","729.84","No"
"USEP","13-May-2026","8","176.33","0.00","6188.286","0.00","0.000","176.33","197.38","729.84","No"
"USEP","13-May-2026","9","176.33","0.00","6183.734","0.00","0.000","176.33","197.39","729.84","No"
"USEP","13-May-2026","10","176.34","0.00","6190.299","0.00","0.000","176.34","197.39","729.84","No"
"USEP","13-May-2026","11","181.44","0.00","6277.781","0.00","0.000","181.44","197.49","729.84","No"
"USEP","13-May-2026","12","181.46","0.00","6434.694","0.00","0.000","181.46","197.57","729.84","No"
"USEP","13-May-2026","13","181.48","0.00","6622.918","0.00","0.000","181.48","197.67","729.84","No"
"USEP","13-May-2026","14","186.89","0.00","6809.238","0.00","0.000","186.89","197.86","729.84","No"
"USEP","13-May-2026","15","185.89","0.00","6998.307","6.00","0.000","185.89","197.99","729.84","No"
"USEP","13-May-2026","16","192.90","0.00","7209.348","24.46","0.000","192.90","198.19","729.84","No"
"USEP","13-May-2026","17","205.81","0.00","7369.213","102.12","0.000","205.81","198.67","729.84","No"
"USEP","13-May-2026","18","187.93","0.00","7353.140","263.63","0.000","187.93","198.85","729.84","No"
"USEP","13-May-2026","19","186.19","0.00","7238.532","469.77","0.000","186.19","199.02","729.84","No"
"USEP","13-May-2026","20","178.89","0.00","7120.320","667.32","0.000","178.89","199.07","729.84","No"
"USEP","13-May-2026","21","181.59","0.00","7245.018","631.58","0.000","181.59","199.03","729.84","No"
"USEP","13-May-2026","22","222.95","0.00","7395.882","525.13","0.000","222.95","199.30","729.84","No"
"USEP","13-May-2026","23","290.73","0.00","7600.855","327.14","0.000","290.73","201.73","729.84","No"
"USEP","13-May-2026","24","290.65","0.00","7589.369","285.80","0.000","290.65","204.24","729.84","No"
"USEP","13-May-2026","25","190.74","0.00","7170.810","650.51","0.000","190.74","203.63","729.84","No"
"USEP","13-May-2026","26","222.18","0.00","7271.006","522.28","0.000","222.18","203.52","729.84","No"
"USEP","13-May-2026","27","176.80","0.00","7033.489","756.38","0.000","176.80","203.52","729.84","No"
"USEP","13-May-2026","28","209.59","0.00","7327.862","508.26","0.000","209.59","200.54","729.84","No"
"USEP","13-May-2026","29","187.96","0.00","7233.929","595.22","0.000","187.96","200.77","729.84","No"
"USEP","13-May-2026","30","185.68","0.00","7213.736","569.96","0.000","185.68","200.08","729.84","No"
"USEP","13-May-2026","31","181.09","0.00","7221.519","559.22","0.000","181.09","198.96","729.84","No"
"USEP","13-May-2026","32","177.56","0.00","7177.083","591.42","0.000","177.56","196.15","729.84","No"
"USEP","13-May-2026","33","172.72","0.00","7143.217","640.27","0.000","172.72","196.06","729.84","No"
"USEP","13-May-2026","34","176.45","0.00","7267.825","507.31","0.000","176.45","195.95","729.84","No"
"USEP","13-May-2026","35","172.69","0.00","7238.681","494.85","0.000","172.69","195.96","729.84","No"
"USEP","13-May-2026","36","170.55","0.00","7271.766","385.49","0.000","170.55","195.90","729.84","No"
"USEP","13-May-2026","37","176.85","0.00","7427.138","183.28","0.000","176.85","195.70","729.84","No"
"USEP","13-May-2026","38","185.98","0.00","7558.888","75.93","0.000","185.98","195.50","729.84","No"
"USEP","13-May-2026","39","193.10","0.00","7645.664","7.94","0.000","193.10","194.42","729.84","No"
"USEP","13-May-2026","40","193.11","0.00","7642.543","0.00","0.000","193.11","193.59","729.84","No"
"USEP","13-May-2026","41","193.11","0.00","7604.358","0.00","0.000","193.11","192.76","729.84","No"
"USEP","13-May-2026","42","189.03","0.00","7564.022","0.00","0.000","189.03","192.05","729.84","No"
"USEP","13-May-2026","43","186.62","0.00","7485.118","0.00","0.000","186.62","191.28","729.84","No"
"USEP","13-May-2026","44","180.24","0.00","7343.558","0.00","0.000","180.24","191.01","729.84","No"
"USEP","13-May-2026","45","176.59","0.00","7191.108","0.00","0.000","176.59","190.82","729.84","No"
"USEP","13-May-2026","46","176.38","0.00","7050.358","0.00","0.000","176.38","190.79","729.84","No"
"USEP","13-May-2026","47","176.51","0.00","6901.933","0.00","0.000","176.51","190.68","729.84","No"
"USEP","13-May-2026","48","173.40","0.00","6662.862","0.00","0.000","173.40","190.51","729.84","No"
"USEP","14-May-2026","1","167.86","0.00","6438.963","0.00","0.000","167.86","189.72","729.84","No"
"USEP","14-May-2026","2","167.24","0.00","6317.233","0.00","0.000","167.24","188.57","729.84","No"
"USEP","14-May-2026","3","176.17","0.00","6313.287","0.00","0.000","176.17","188.23","729.84","No"
"USEP","14-May-2026","4","176.15","0.00","6249.189","0.00","0.000","176.15","188.03","729.84","No"
"USEP","14-May-2026","5","176.14","0.00","6190.403","0.00","0.000","176.14","188.03","729.84","No"
"USEP","14-May-2026","6","175.95","0.00","6143.233","0.00","0.000","175.95","188.01","729.84","No"
"USEP","14-May-2026","7","175.95","0.00","6107.052","0.00","0.000","175.95","188.00","729.84","No"
"USEP","14-May-2026","8","176.13","0.00","6084.786","0.00","0.000","176.13","188.00","729.84","No"
"USEP","14-May-2026","9","176.12","0.00","6095.422","0.00","0.000","176.12","188.00","729.84","No"
"USEP","14-May-2026","10","176.23","0.00","6142.741","0.00","0.000","176.23","187.99","729.84","No"
"USEP","14-May-2026","11","176.30","0.00","6244.417","0.00","0.000","176.30","187.89","729.84","No"
"USEP","14-May-2026","12","177.32","0.00","6429.152","0.00","0.000","177.32","187.80","729.84","No"
"USEP","14-May-2026","13","177.91","0.00","6631.685","0.00","0.000","177.91","187.73","729.84","No"
"USEP","14-May-2026","14","187.51","0.00","6831.757","0.00","0.000","187.51","187.74","729.84","No"
"USEP","14-May-2026","15","187.78","0.00","7040.432","7.90","0.000","187.78","187.78","729.84","No"
"USEP","14-May-2026","16","210.74","0.00","7257.954","29.74","0.000","210.74","188.15","729.84","No"
"USEP","14-May-2026","17","202.37","0.00","7380.226","126.02","0.000","202.37","188.08","729.84","No"
"USEP","14-May-2026","18","193.04","0.00","7399.063","264.65","0.000","193.04","188.18","729.84","No"
"USEP","14-May-2026","19","187.72","0.00","7321.859","456.10","0.000","187.72","188.22","729.84","No"
"USEP","14-May-2026","20","177.58","0.00","7180.189","656.76","0.000","177.58","188.19","729.84","No"
"USEP","14-May-2026","21","176.84","0.00","7078.085","783.39","0.000","176.84","188.09","729.84","No"
"USEP","14-May-2026","22","176.46","0.00","6982.283","900.32","0.000","176.46","187.12","729.84","No"
"USEP","14-May-2026","23","176.42","0.00","6850.216","1061.02","0.000","176.42","184.74","729.84","No"
"USEP","14-May-2026","24","174.91","0.00","6753.007","1114.74","0.000","174.91","182.33","729.84","No"
"USEP","14-May-2026","25","174.54","0.00","6709.401","1100.77","0.000","174.54","181.99","729.84","No"
"USEP","14-May-2026","26","172.59","0.00","6603.028","1216.31","0.000","172.59","180.96","729.84","No"
"USEP","14-May-2026","27","167.50","0.00","6527.335","1340.61","0.000","167.50","180.76","729.84","No"
"USEP","14-May-2026","28","167.71","0.00","6563.273","1335.13","0.000","167.71","179.89","729.84","No"
"USEP","14-May-2026","29","174.53","0.00","6779.254","1166.36","0.000","174.53","179.61","729.84","No"
"USEP","14-May-2026","30","176.42","0.00","6936.067","1002.30","0.000","176.42","179.42","729.84","No"
"USEP","14-May-2026","31","172.56","0.00","6742.575","1192.86","0.000","172.56","179.24","729.84","No"
"USEP","14-May-2026","32","173.87","0.00","6851.284","1089.40","0.000","173.87","179.16","729.84","No"
"USEP","14-May-2026","33","176.86","0.00","7166.740","779.95","0.000","176.86","179.25","729.84","No"
"USEP","14-May-2026","34","176.81","0.00","7176.138","725.44","0.000","176.81","179.26","729.84","No"
"USEP","14-May-2026","35","176.47","0.00","7248.213","656.74","0.000","176.47","179.34","729.84","No"
"USEP","14-May-2026","36","176.87","0.00","7318.007","499.39","0.000","176.87","179.47","729.84","No"
"USEP","14-May-2026","37","177.51","0.00","7406.110","341.00","0.000","177.51","179.48","729.84","No"
"USEP","14-May-2026","38","188.16","0.00","7629.586","74.15","0.000","188.16","179.53","729.84","No"
"USEP","14-May-2026","39","190.06","0.00","7659.456","3.44","0.000","190.06","179.46","729.84","No"
"USEP","14-May-2026","40","188.17","0.00","7656.688","0.00","0.000","188.17","179.36","729.84","No"
"USEP","14-May-2026","41","190.50","0.00","7658.780","0.00","0.000","190.50","179.31","729.84","No"
"USEP","14-May-2026","42","190.51","0.00","7627.260","0.00","0.000","190.51","179.34","729.84","No"
"USEP","14-May-2026","43","193.41","0.00","7560.627","0.00","0.000","193.41","179.48","729.84","No"
"USEP","14-May-2026","44","188.12","0.00","7433.296","0.00","0.000","188.12","179.64","729.84","No"
"USEP","14-May-2026","45","181.91","0.00","7281.378","0.00","0.000","181.91","179.75","729.84","No"
"USEP","14-May-2026","46","177.62","0.00","7145.001","0.00","0.000","177.62","179.78","729.84","No"
"USEP","14-May-2026","47","180.54","0.00","7008.127","0.00","0.000","180.54","179.86","729.84","No"
"USEP","14-May-2026","48","178.99","0.00","6887.168","0.00","0.000","178.99","179.98","729.84","No"
